Smartphone sales,,Sales (millions),Smartphone sales as a proportion of all mobile phones sales (%)
2005,Q1,0.2,4
,Q2,0.3,6
,Q3,0.5,7
,Q4,0.6,6
2006,Q1,0.5,7
,Q2,0.5,7
,Q3,0.5,7
,Q4,0.6,6
2007,Q1,0.6,9
,Q2,0.8,12
,Q3,0.8,11
,Q4,0.9,9
2008,Q1,1,12
,Q2,0.8,10
,Q3,1.2,15
,Q4,1.2,12
2009,Q1,1.2,16
,Q2,1.3,18
,Q3,1.6,21
,Q4,1.8,20
2010,Q1,2,28
,Q2,2.5,34
,Q3,3.2,41
,Q4,3.7,41
2011,Q1,3.3,48
